V4,V11,V14,V2,V8,V5,V1,V15,V13,V9,V3,V6,V7,V10,V12,V16,Class
secondary,may,-1,blue-collar,no,no,59,0,1,cellular,married,627,no,22,151,unknown,1
tertiary,feb,-1,services,yes,no,42,0,1,cellular,married,684,yes,8,361,unknown,2
tertiary,may,-1,unemployed,no,no,29,2,2,unknown,married,0,yes,17,52,failure,1
secondary,jul,355,admin.,no,no,46,4,2,cellular,single,-287,yes,26,548,unknown,1
tertiary,nov,-1,blue-collar,no,no,36,0,1,cellular,married,644,yes,30,182,unknown,1
secondary,may,-1,blue-collar,no,yes,35,0,3,cellular,divorced,739,yes,6,169,unknown,1
secondary,may,-1,admin.,yes,no,47,0,1,unknown,married,937,yes,14,110,unknown,1
tertiary,sep,-1,management,no,no,33,0,1,cellular,single,1194,no,11,112,unknown,1
secondary,may,-1,management,no,no,32,0,3,cellular,married,678,yes,16,130,unknown,1
secondary,may,-1,management,no,no,39,0,2,cellular,married,859,yes,19,104,unknown,1
secondary,jul,-1,management,no,no,40,0,1,cellular,married,1,yes,14,65,unknown,1
tertiary,may,-1,technician,no,no,29,0,2,cellular,married,684,yes,29,31,unknown,1
secondary,aug,-1,unknown,yes,no,46,0,1,cellular,married,1315,no,22,480,unknown,2
primary,may,-1,blue-collar,no,no,38,0,1,cellular,single,5028,no,10,138,unknown,1
secondary,aug,-1,technician,no,no,39,0,4,cellular,married,28,yes,17,623,failure,1
tertiary,nov,-1,management,yes,no,56,0,1,cellular,married,1341,yes,15,581,unknown,1
secondary,may,-1,entrepreneur,yes,no,46,0,1,cellular,single,527,yes,9,513,unknown,1
secondary,jun,-1,technician,no,no,34,0,1,cellular,single,-202,no,7,105,unknown,1
primary,jul,-1,technician,no,no,41,0,1,unknown,divorced,1306,yes,7,267,success,1
primary,jul,-1,admin. admin.,yes,no,41,0,1,cellular,single,25,yes,27,8,unknown,1
secondary,may,-1,technician,no,no,48,0,2,cellular,married,1000,yes,13,150,unknown,2
tertiary,may,-1,blue-collar,no,no,45,0,5,unknown,single,305,yes,20,168,unknown,1
tertiary,aug,-1,entrepreneur,no,no,43,0,1,cellular,married,1329,no,11,374,unknown,1
secondary,may,-1,services,no,no,49,0,2,cellular,single,1044,no,10,21,unknown,1
secondary,aug,-1,blue-collar,no,no,40,0,1,cellular,married,532,yes,17,439,success,1
tertiary,nov,-1,admin.,yes,no,37,0,2,cellular,married,1030,yes,18,1439,unknown,1
tertiary,aug,-1,blue-collar,no,no,46,0,1,cellular,single,4331,no,5,171,unknown,1
secondary,aug,-1,admin.,no,no,34,0,2,cellular,married,628,yes,11,929,failure,1
tertiary,jun,-1,admin.,yes,no,32,0,2,cellular,single,-701,yes,18,797,unknown,1
tertiary,jul,-1,retired,no,no,46,0,1,cellular,married,-1144,yes,29,1,unknown,1
tertiary,jul,-1,management,no,no,44,0,1,telephone,married,-1,no,16,267,unknown,1
secondary,feb,-1,management,no,no,42,0,2,unknown,married,1044,no,9,179,unknown,1
tertiary,nov,-1,technician,yes,no,41,0,2,cellular,single,914,yes,15,223,unknown,1
secondary,apr,-1,blue-collar,no,no,38,2,1,cellular,single,574,yes,30,496,failure,1
primary,may,-1,management,no,no,52,0,2,cellular,married,665,no,19,171,success,1
secondary,aug,-1,management,no,no,27,0,1,cellular,single,1373,no,6,966,unknown,1
secondary,apr,187,housemaid,no,no,35,0,3,cellular,married,1558,yes,27,8,unknown,1
tertiary,jul,-1,management,no,no,29,0,1,cellular,single,-10,yes,23,738,unknown,1
tertiary,may,-1,blue-collar,no,no,38,2,3,unknown,married,715,no,4,129,failure,1
primary,jul,-1,management,no,no,34,2,3,cellular,married,539,yes,30,842,failure,1
tertiary,jul,-1,management,no,no,38,0,1,cellular,married,-170,no,29,132,failure,1
secondary,aug,99,management,no,no,40,0,1,unknown,married,2913,yes,13,88,unknown,1
secondary,may,-1,blue-collar,yes,no,32,0,1,cellular,married,2063,no,15,86,unknown,1
secondary,apr,-1,technician,yes,no,37,1,1,unknown,married,1340,yes,13,124,unknown,1
tertiary,nov,-1,entrepreneur,no,no,42,0,2,cellular,married,-1027,yes,20,281,unknown,1
tertiary,oct,-1,management,no,no,48,0,3,cellular,divorced,-8,no,10,179,unknown,1
tertiary,jun,-1,blue-collar,no,no,30,0,2,cellular,divorced,584,yes,30,616,unknown,1
secondary,jun,-1,technician,no,no,49,0,1,cellular,married,898,no,18,152,unknown,1
secondary,may,-1,admin.,no,no,53,0,2,cellular,single,0,no,7,1506,failure,1
secondary,jul,-1,technician,no,no,41,3,1,cellular,single,564,yes,20,115,unknown,1
secondary,jul,-1,management,no,no,48,0,3,cellular,single,2254,yes,17,247,unknown,1
tertiary,aug,-1,blue-collar,no,no,20,0,2,cellular,single,1773,yes,6,169,unknown,1
secondary,nov,-1,technician,no,no,35,0,1,cellular,married,485,no,14,87,failure,1
secondary,jul,-1,self-employed,no,no,31,0,3,cellular,married,127,no,6,111,unknown,1
secondary,may,-1,blue-collar,no,no,36,1,1,unknown,single,1311,yes,21,217,unknown,1
tertiary,jun,-1,management,no,no,32,0,1,cellular,single,0,yes,12,77,unknown,1
secondary,jul,-1,management,no,no,33,2,1,unknown,married,516,yes,20,190,unknown,1
secondary,nov,-1,blue-collar,no,no,49,0,1,cellular,married,594,yes,19,246,success,1
secondary,may,-1,management,no,no,26,0,3,cellular,married,2580,yes,7,2,unknown,1
primary,may,-1,blue-collar,no,no,55,0,15,cellular,single,6825,no,15,135,failure,1
secondary,may,169,admin.,no,no,55,0,2,cellular,married,513,yes,6,611,unknown,2
secondary,jul,-1,blue-collar,no,no,33,0,2,unknown,married,444,no,29,246,unknown,2
secondary,may,-1,blue-collar,yes,no,60,0,2,cellular,married,1452,no,27,151,unknown,1
tertiary,apr,-1,blue-collar,no,no,54,0,3,cellular,married,383,no,28,10,unknown,1
secondary,jul,350,management,no,no,32,0,2,cellular,single,649,no,11,110,failure,1
secondary,aug,-1,housemaid,no,no,29,0,2,cellular,married,448,yes,21,1475,unknown,1
tertiary,feb,-1,blue-collar,no,no,47,0,2,cellular,married,813,no,13,1,unknown,1
tertiary,may,-1,admin.,no,no,44,0,3,cellular,married,-342,yes,13,932,unknown,1
secondary,may,-1,blue-collar,no,no,49,0,1,cellular,married,376,no,11,479,unknown,1
secondary,nov,-1,blue-collar,no,no,27,0,2,cellular,divorced,764,yes,2,173,unknown,1
tertiary,may,-1,admin.,no,no,41,0,4,cellular,single,2124,no,27,199,failure,1
secondary,jul,-1,admin.,no,no,55,0,1,unknown,married,5088,no,21,531,unknown,1
primary,jun,-1,technician,no,no,31,1,1,cellular,single,-91,yes,29,151,unknown,1
tertiary,jun,-1,admin.net,no,no,33,0,1,cellular,single,523,no,19,136,unknown,1
secondary,nov,-1,services,no,no,33,0,2,unknown,married,482,yes,6,716,unknown,1
secondary,may,-1,blue-collar,no,no,41,0,1,cellular,married,544,no,12,563,unknown,1
tertiary,aug,-1,technician,yes,no,54,1,2,cellular,single,1414,no,21,823,unknown,1
tertiary,feb,-1,management,no,no,49,0,3,cellular,married,461,yes,14,72,unknown,1
secondary,may,-1,management,yes,no,44,0,1,cellular,single,543,yes,6,151,unknown,1
secondary,jul,-1,management,no,no,29,0,4,cellular,married,2287,no,20,190,unknown,1
tertiary,nov,-1,unemployed,no,no,45,0,2,cellular,married,1366,yes,5,107,unknown,1
secondary,aug,-1,admin.,no,no,45,0,2,unknown,single,2234,no,9,532,unknown,2
primary,may,-1,admin.,no,no,55,0,1,cellular,married,66,no,19,1230,unknown,1
secondary,jul,-1,unemployed,no,no,44,0,2,cellular,single,1,yes,17,103,unknown,1
secondary,jun,-1,blue-collar,no,no,34,0,4,cellular,single,633,no,13,197,unknown,1
tertiary,jun,-1,blue-collar,no,no,41,0,1,cellular,married,650,no,7,159,unknown,1
tertiary,jul,102,blue-collar,no,no,27,0,1,cellular,single,2540,yes,2,103,unknown,1
secondary,jul,-1,blue-collar,no,no,41,0,3,cellular,divorced,623,yes,19,184,unknown,1
primary,aug,-1,management,no,no,33,0,1,cellular,married,4837,yes,18,566,unknown,1
primary,jan,-1,management,yes,no,33,0,2,unknown,single,218,yes,21,418,unknown,1
secondary,aug,-1,management,no,no,56,0,2,cellular,single,1130,yes,19,516,failure,1
secondary,may,-1,management,no,no,46,0,4,unknown,married,2052,no,10,171,unknown,2
secondary,jul,-1,services,yes,no,37,0,1,cellular,married,-312,yes,12,48,unknown,1
secondary,nov,-1,management,no,no,48,0,1,cellular,married,1000,yes,19,80,unknown,1
primary,jul,-1,retired,no,no,40,0,2,cellular,married,678,yes,4,151,unknown,1
tertiary,may,-1,entrepreneur,no,no,38,0,2,cellular,divorced,61,no,29,130,unknown,1
secondary,jun,-1,services,no,no,33,0,3,cellular,married,752,yes,12,247,unknown,1
primary,feb,-1,management,no,no,53,0,2,unknown,single,-1215,yes,6,152,success,1
tertiary,may,-1,management,no,no,53,0,5,cellular,single,705,yes,14,178,unknown,1
secondary,aug,-1,housemaid,no,no,33,0,2,cellular,married,542,yes,30,113,unknown,1
tertiary,jun,247,management,no,no,31,0,1,cellular,divorced,0,yes,13,157,unknown,1
secondary,jan,-1,admin.,no,no,43,0,1,cellular,married,973,no,25,1138,unknown,1
secondary,aug,-1,management,no,no,49,0,3,cellular,married,1492,yes,18,549,failure,1
primary,may,-1,entrepreneur,no,no,38,0,1,cellular,single,717,yes,17,421,unknown,1
secondary,jul,-1,management,yes,no,33,0,2,cellular,single,1455,yes,28,859,unknown,1
secondary,apr,-1,blue-collar,no,no,39,0,2,cellular,single,2266,no,26,112,unknown,1
tertiary,may,-1,blue-collar,no,no,50,0,2,cellular,married,-312,no,29,76,unknown,1
secondary,may,95,blue-collar,no,no,49,0,2,cellular,single,686,yes,30,109,unknown,1
tertiary,may,-1,management,no,no,38,29,2,cellular,married,507,no,20,171,other,1
tertiary,jul,-1,blue-collar,no,no,47,0,1,cellular,single,757,no,21,716,unknown,1
secondary,may,94,blue-collar,no,no,57,0,2,unknown,married,941,yes,18,360,success,1
secondary,aug,-1,admin.,no,no,57,0,3,cellular,single,6,no,19,800,failure,1
secondary,may,-1,technician,no,no,33,0,3,unknown,married,-8,yes,6,132,unknown,1
secondary,feb,-1,blue-collar,yes,no,40,0,4,unknown,married,247,yes,28,127,other,2
tertiary,jul,162,admin.,no,no,70,0,5,unknown,married,912,no,8,169,unknown,1
secondary,may,-1,entrepreneur,no,no,35,0,1,unknown,married,0,yes,21,466,unknown,1
secondary,jul,-1,services,yes,no,49,0,1,cellular,divorced,2054,no,10,632,unknown,1
tertiary,may,-1,blue-collar,no,no,41,0,5,cellular,married,-11,yes,20,152,unknown,1
tertiary,jun,-1,blue-collar,no,no,58,0,3,cellular,married,0,yes,26,474,unknown,1
secondary,jul,-1,management,no,no,34,0,2,cellular,single,2940,no,20,527,unknown,1
secondary,jun,-1,management,no,no,34,2,1,cellular,single,884,no,14,168,unknown,1
secondary,nov,-1,technician,no,no,36,0,1,cellular,single,872,yes,26,6,unknown,1
secondary,jun,-1,blue-collar,no,no,34,0,2,unknown,married,8000,no,16,184,unknown,1
tertiary,jan,-1,management,no,no,58,4,2,cellular,single,484,yes,19,7,unknown,1
primary,may,186,admin.,no,no,35,0,1,unknown,single,2880,yes,18,104,unknown,1
secondary,aug,-1,management,no,no,41,0,1,cellular,married,1110,no,30,159,unknown,1
secondary,jul,-1,technician,no,no,27,0,2,cellular,married,823,yes,15,923,unknown,1
tertiary,nov,-1,technician,no,no,44,0,2,cellular,divorced,1587,yes,19,2,unknown,1
secondary,may,-1,management,yes,no,40,0,4,cellular,single,1458,yes,29,110,unknown,1
secondary,jul,-1,technician,no,no,56,0,1,cellular,married,1742,yes,26,103,unknown,1
primary,may,144,blue-collar,no,no,45,0,2,cellular,married,2078,no,2,471,unknown,1
tertiary,may,-1,retired,no,no,35,0,4,unknown,married,16,yes,6,119,unknown,1
primary,may,-1,management,no,no,47,0,1,cellular,married,-9,yes,16,576,unknown,2
secondary,may,-1,management,no,no,43,0,3,cellular,married,1079,yes,4,163,unknown,1
primary,jun,-1,retired,no,no,27,0,2,unknown,single,-202,yes,28,238,unknown,2
tertiary,may,-1,management,no,no,41,0,2,cellular,married,0,yes,12,321,unknown,1
tertiary,may,-1,services,no,no,63,0,2,cellular,married,1076,yes,9,113,unknown,1
secondary,sep,-1,blue-collar,no,no,33,0,3,unknown,divorced,416,no,26,222,unknown,1
tertiary,jul,-1,retired,yes,no,54,0,4,cellular,married,146,no,20,6,unknown,1
tertiary,dec,-1,admin.,yes,no,50,2,2,cellular,single,372,no,4,555,unknown,1
tertiary,apr,-1,blue-collar,no,no,38,0,3,cellular,married,838,yes,19,108,unknown,1
secondary,jul,-1,blue-collar,no,no,32,0,3,cellular,married,2187,yes,27,672,failure,1
secondary,may,-1,admin.,no,no,37,0,1,cellular,married,-196,yes,2,126,unknown,1
primary,jun,-1,management,no,no,34,0,1,unknown,married,1892,yes,12,163,unknown,1
primary,may,-1,management,yes,no,43,0,1,cellular,single,107,no,20,108,unknown,1
tertiary,aug,-1,blue-collar,no,no,59,0,5,cellular,married,0,yes,9,131,unknown,1
tertiary,aug,-1,retired,no,no,38,0,1,cellular,divorced,1412,yes,16,9,unknown,1
tertiary,may,-1,management,no,no,31,0,1,cellular,divorced,392,yes,19,190,unknown,1
tertiary,apr,-1,blue-collar,no,no,32,0,2,unknown,single,0,yes,11,62,unknown,1
secondary,may,-1,services,no,yes,33,0,1,unknown,single,29,no,29,185,unknown,1
secondary,nov,-1,retired,no,no,51,0,1,unknown,single,1293,yes,26,559,unknown,1
tertiary,nov,-1,admin.,no,no,29,0,2,cellular,married,-1,yes,23,973,unknown,1
secondary,may,-1,blue-collar,no,no,37,0,2,cellular,married,508,yes,29,711,unknown,1
secondary,apr,-1,services,no,no,32,0,1,cellular,married,0,yes,2,138,failure,1
tertiary,jun,-1,services,yes,no,35,0,2,unknown,single,49,no,23,150,unknown,1
tertiary,apr,294,unemployed,no,no,41,0,6,cellular,married,12,yes,2,541,unknown,1
secondary,may,326,entrepreneur,no,no,29,0,2,cellular,married,18,no,29,92,failure,1
secondary,may,-1,blue-collar,no,no,36,0,2,cellular,single,487,yes,31,299,unknown,1
tertiary,aug,-1,self-employed,no,no,36,0,2,cellular,single,29,no,28,152,unknown,1
secondary,may,-1,management,no,no,31,0,2,cellular,married,826,no,4,467,unknown,1
secondary,jun,-1,admin.,no,no,29,0,2,cellular,single,973,yes,18,6,failure,1
tertiary,may,-1,blue-collar,no,no,46,0,4,cellular,divorced,-333,no,23,126,other,1
tertiary,may,-1,management,no,no,37,0,2,unknown,single,474,yes,9,-1,unknown,1
secondary,apr,-1,retired,no,no,28,0,4,cellular,married,1342,no,5,91,unknown,1
secondary,may,-1,entrepreneur,yes,no,55,1,1,cellular,single,168,no,9,73,unknown,1
secondary,may,-1,blue-collar,no,no,32,0,1,cellular,married,949,yes,28,104,unknown,1
primary,jul,195,blue-collar,no,no,30,0,3,cellular,married,516,yes,23,267,failure,1
primary,may,-1,services,no,no,33,0,1,cellular,married,674,yes,12,14,unknown,1
tertiary,jun,391,management,no,no,37,0,1,cellular,single,497,yes,29,232,unknown,2
tertiary,aug,275,management,no,no,43,0,2,cellular,single,51,yes,18,8,unknown,1
primary,aug,-1,services,no,no,43,0,1,unknown,divorced,715,yes,29,145,unknown,1
tertiary,jul,-1,housemaid,no,no,43,0,1,cellular,single,3623,no,9,182,unknown,1
secondary,may,-1,technician,no,no,41,0,1,cellular,single,927,no,30,220,unknown,1
secondary,jun,-1,management,yes,no,40,0,1,cellular,divorced,335,yes,15,182,failure,1
secondary,jul,-1,blue-collar,yes,no,27,0,1,cellular,married,605,no,14,110,other,1
secondary,jul,-1,admin.,no,no,35,0,1,cellular,married,190,yes,19,98,unknown,1
primary,may,-1,technician,no,no,54,0,2,cellular,married,1773,no,12,7,unknown,1
secondary,jul,-1,technician,no,no,56,0,2,cellular,married,0,yes,15,632,unknown,1
primary,jun,-1,management,yes,no,45,0,1,cellular,single,49,yes,20,92,unknown,1
secondary,jan,-1,blue-collar,no,no,44,0,1,cellular,married,574,no,28,104,unknown,1
secondary,may,2,technician,no,no,44,0,6,unknown,single,1495,yes,28,195,unknown,1
secondary,aug,-1,management,no,no,48,0,1,cellular,single,1510,yes,20,107,unknown,2
tertiary,jul,-1,housemaid,no,no,47,0,2,unknown,single,111,yes,21,656,unknown,2
unknown,jul,-1,technician,no,no,49,0,1,cellular,married,0,yes,17,110,unknown,1
secondary,apr,-1,management,no,no,62,0,2,unknown,single,0,yes,20,127,unknown,2
secondary,aug,-1,retired,no,no,55,0,4,telephone,married,498,yes,29,105,unknown,2
tertiary,aug,-1,management,yes,no,22,0,4,cellular,single,853,yes,18,631,unknown,2
secondary,jul,-1,technician,no,no,46,3,1,cellular,married,468,no,5,791,failure,1
tertiary,may,-1,management,no,no,39,0,2,cellular,married,7,yes,17,169,unknown,1
secondary,jun,-1,blue-collar,no,no,54,0,2,cellular,single,1343,yes,29,182,unknown,1
tertiary,jun,-1,retired,no,no,49,0,2,cellular,married,1613,yes,5,182,unknown,2
secondary,may,-1,admin.,no,no,31,2,5,cellular,married,899,no,18,979,other,1
primary,may,561,admin. blue-collar,no,no,35,0,5,cellular,single,1672,yes,30,564,unknown,1
tertiary,jun,-1,management,no,no,43,0,2,unknown,married,0,no,20,104,unknown,1
secondary,nov,343,blue-collar,no,no,29,0,1,unknown,single,1129,yes,18,49,unknown,1
secondary,jul,-1,management,no,no,43,0,1,cellular,married,-1,no,20,136,unknown,1
secondary,may,-1,technician,no,no,42,0,1,cellular,single,1529,no,22,591,unknown,1
unknown,may,-1,admin.,yes,no,33,0,2,cellular,married,1619,no,19,256,unknown,1
tertiary,apr,-1,technician,no,no,37,0,2,unknown,married,1098,yes,1,124,unknown,1
secondary,feb,-1,admin.,no,no,33,0,5,cellular,married,186,yes,20,228,success,1
tertiary,may,-1,management,no,no,46,0,4,cellular,married,0,no,5,711,other,1
secondary,jun,-1,student,no,no,34,0,1,cellular,married,515,no,23,110,unknown,1
primary,may,-1,management,yes,no,29,0,1,cellular,married,289,yes,6,208,unknown,1
tertiary,may,-1,blue-collar,no,no,36,0,3,cellular,married,1075,yes,11,638,unknown,1
tertiary,jul,-1,blue-collar,no,no,36,0,2,unknown,married,915,yes,2,198,unknown,1
secondary,aug,-1,blue-collar,no,no,54,0,1,cellular,single,487,yes,30,487,unknown,1
secondary,jul,-1,technician,no,no,65,0,2,cellular,married,6207,yes,6,126,unknown,1
primary,nov,-1,management,no,no,41,0,1,cellular,single,516,no,2,112,unknown,1
primary,nov,-1,management,yes,no,32,0,2,cellular,single,19,no,29,108,unknown,1
tertiary,jul,-1,student,no,no,33,0,1,cellular,single,500,no,29,93,unknown,1
tertiary,jul,266,management,no,no,30,0,5,cellular,single,591,yes,11,6,unknown,2
secondary,jul,-1,admin.,no,no,34,0,2,cellular,married,-1,yes,13,541,unknown,1
secondary,jul,-1,management,no,no,37,0,3,cellular,married,1831,yes,4,138,unknown,1
secondary,jun,-1,management,no,no,29,0,13,unknown,single,2104,yes,29,138,other,2
secondary,may,-1,blue-collar,no,no,35,1,3,cellular,single,2254,yes,22,92,unknown,1
secondary,jun,391,blue-collar,no,no,50,3,2,cellular,married,1059,yes,16,163,unknown,2
secondary,jun,-1,management,no,no,41,0,3,unknown,single,-1,yes,28,657,unknown,1
secondary,nov,-1,management,no,no,57,5,1,cellular,married,638,no,5,7,unknown,1
primary,aug,-1,management,no,no,36,0,1,cellular,married,0,yes,4,737,unknown,1
secondary,jul,-1,management,no,no,34,3,1,cellular,divorced,291,no,26,169,unknown,1
secondary,jun,6,technician,no,no,33,0,2,cellular,married,446,no,12,476,unknown,1
secondary,may,-1,self-employed,no,no,31,2,3,cellular,single,667,yes,17,632,unknown,1
tertiary,may,-1,management,no,no,39,0,1,cellular,married,10250,no,5,202,unknown,1
tertiary,may,-1,technician,yes,no,33,0,2,cellular,married,1958,no,30,121,failure,1
tertiary,may,-1,blue-collar,no,no,46,0,1,cellular,divorced,223,yes,16,127,unknown,1
secondary,jun,-1,management,no,no,51,0,2,telephone,married,27,no,18,-1,unknown,1
secondary,may,-1,technician,no,no,43,0,2,cellular,married,107,yes,19,1237,failure,1
secondary,jul,-1,services,no,no,31,0,1,cellular,married,511,yes,5,559,other,1
secondary,jun,-1,management,no,no,27,0,1,unknown,single,738,no,20,107,unknown,1
secondary,aug,-1,unemployed,no,no,63,0,12,cellular,single,-304,yes,20,171,failure,1
unknown,jun,-1,blue-collar,no,no,33,0,1,unknown,married,4036,no,29,130,unknown,2
secondary,jun,-1,blue-collar,no,no,43,0,1,unknown,married,67,yes,3,723,failure,1
secondary,jul,-1,management,no,no,37,0,4,cellular,married,739,no,19,787,failure,1
primary,may,-1,blue-collar,no,no,33,0,1,unknown,married,1728,no,21,691,unknown,1
tertiary,may,-1,technician,no,no,33,0,3,cellular,married,1,yes,17,173,unknown,1
secondary,jan,-1,blue-collar,no,no,49,0,1,unknown,married,0,yes,20,1036,unknown,2
secondary,aug,-1,technician,no,no,43,0,3,cellular,married,1,yes,12,48,unknown,1
tertiary,jun,-1,admin.,no,no,28,0,29,cellular,married,303,no,14,539,unknown,1
secondary,jun,-1,management,no,no,54,0,4,cellular,married,1270,no,16,432,unknown,1
tertiary,aug,-1,entrepreneur,no,no,33,0,1,cellular,divorced,439,yes,30,111,unknown,1
tertiary,jun,-1,technician,no,no,43,0,3,unknown,divorced,18,no,3,171,unknown,1
tertiary,jun,-1,technician,no,no,39,0,2,telephone,married,787,yes,29,123,unknown,1
secondary,apr,-1,blue-collar,no,no,48,0,2,cellular,married,0,yes,18,7,unknown,1
tertiary,jul,-1,technician,no,no,35,0,1,cellular,married,1064,yes,20,406,unknown,2
secondary,may,-1,blue-collar,yes,no,27,0,4,cellular,single,47,yes,7,151,unknown,1
secondary,jul,-1,blue-collar,no,no,34,0,1,cellular,married,449,yes,20,11,success,1
secondary,jun,-1,technician,no,no,41,0,2,cellular,married,4874,yes,18,103,unknown,1
tertiary,feb,-1,entrepreneur,no,no,47,0,1,unknown,married,461,yes,20,195,unknown,1
tertiary,jun,-1,admin.,no,no,52,0,4,unknown,single,0,yes,20,138,unknown,1
secondary,aug,-1,management,no,no,35,0,1,unknown,married,29,yes,20,127,unknown,1
tertiary,nov,-1,technician,no,no,33,0,3,unknown,married,-15,yes,13,888,unknown,1
tertiary,may,-1,management,yes,no,42,0,1,unknown,married,573,yes,16,184,unknown,2
tertiary,feb,-1,management,no,no,45,0,3,unknown,married,3982,no,29,82,unknown,1
tertiary,aug,-1,technician,no,no,43,0,3,unknown,divorced,656,yes,28,1432,unknown,2
secondary,jul,-1,management,no,no,53,0,2,cellular,married,5291,yes,25,129,failure,1
secondary,feb,-1,technician,no,no,46,0,1,cellular,single,-528,yes,27,269,unknown,1
secondary,apr,-1,services,no,no,32,0,3,cellular,single,467,yes,12,51,unknown,1
primary,may,81,housemaid,no,no,38,0,2,cellular,married,2537,yes,30,208,unknown,1
secondary,apr,-1,admin.,no,no,39,0,2,unknown,single,-886,no,18,332,unknown,1
secondary,nov,-1,blue-collar,no,no,34,0,2,cellular,divorced,0,yes,17,567,unknown,1
primary,mar,-1,unemployed,no,no,45,1,6,cellular,married,631,yes,15,152,unknown,1
secondary,may,-1,management,no,no,44,0,2,cellular,single,584,yes,30,176,unknown,1
secondary,nov,-1,housemaid,no,no,32,0,12,cellular,married,485,yes,8,991,unknown,1
secondary,may,-1,management,no,no,33,0,3,cellular,married,-1039,yes,14,270,unknown,1
primary,jul,-1,blue-collar,no,no,46,0,1,cellular,married,1,no,9,2,unknown,1
tertiary,nov,-1,retired,no,no,51,0,2,unknown,single,1577,no,18,661,unknown,1
primary,feb,-1,management,no,no,33,1,1,cellular,married,337,no,17,130,failure,1
secondary,may,-1,management,no,no,51,0,1,cellular,married,1294,yes,18,395,unknown,1
secondary,may,-1,services,no,no,33,0,2,unknown,single,830,yes,28,65,failure,1
primary,jul,-1,technician,no,no,39,0,2,cellular,single,1026,no,14,208,unknown,1
secondary,jul,-1,technician,no,no,58,0,4,cellular,married,8,no,17,289,unknown,1
secondary,may,-1,management,no,no,36,5,4,cellular,married,566,yes,12,111,unknown,1
tertiary,nov,-1,management,no,no,54,0,3,unknown,single,246,yes,21,584,unknown,1
tertiary,jun,-1,technician,no,no,38,0,6,cellular,single,852,yes,17,847,unknown,1
secondary,jul,-1,blue-collar,no,no,42,0,1,cellular,married,0,yes,8,92,unknown,1
secondary,aug,-1,services,no,no,33,0,1,cellular,married,1126,no,13,163,unknown,1
primary,apr,-1,services,no,no,39,0,1,unknown,married,-196,yes,28,1489,unknown,1
tertiary,may,-1,self-employed,yes,no,40,0,1,cellular,married,549,yes,6,94,unknown,2
secondary,jul,-1,services,no,no,38,0,2,unknown,married,578,yes,20,104,unknown,1
tertiary,may,-1,blue-collar,no,no,31,0,1,cellular,married,453,yes,18,110,unknown,2
secondary,jun,-1,housemaid,no,no,40,0,1,unknown,married,434,yes,16,562,unknown,1
tertiary,may,-1,retired,no,no,50,0,3,cellular,married,516,yes,27,191,unknown,1
tertiary,jun,-1,blue-collar,no,no,31,1,3,cellular,divorced,576,no,29,104,unknown,1
secondary,jul,-1,management,no,no,33,0,1,cellular,married,2910,yes,21,159,unknown,1
secondary,nov,-1,services,no,yes,32,0,1,cellular,married,-15,yes,12,795,unknown,2
secondary,jul,-1,unemployed,no,no,34,0,2,unknown,single,4044,yes,19,150,unknown,1
secondary,may,-1,technician,no,no,42,0,1,cellular,married,6164,yes,29,126,unknown,1
tertiary,jun,-1,services,no,no,53,0,10,cellular,married,-971,yes,15,-1,unknown,1
secondary,jul,-1,admin.,yes,no,35,0,1,cellular,single,-121,yes,18,169,unknown,1
secondary,may,-1,technician,no,no,36,0,1,unknown,married,10072,no,11,111,failure,1
tertiary,nov,-1,management,no,no,47,0,2,cellular,married,316,no,27,136,unknown,1
primary,jun,187,technician,no,no,25,0,1,cellular,married,0,no,10,691,unknown,1
primary,aug,-1,technician,no,no,35,0,4,cellular,single,715,yes,11,467,unknown,1
secondary,may,-1,blue-collar,no,no,37,3,2,unknown,divorced,3087,no,25,279,unknown,1
secondary,may,-1,management,yes,no,32,0,2,cellular,married,178,no,29,103,unknown,1
secondary,jun,-1,blue-collar,no,no,44,0,2,cellular,married,633,yes,20,552,unknown,2
tertiary,feb,-1,technician,no,no,32,0,2,cellular,single,-106,no,13,169,unknown,1
secondary,apr,-1,retired,no,no,49,0,5,cellular,married,1066,no,18,108,unknown,1
tertiary,apr,-1,blue-collar,no,no,32,0,1,unknown,single,0,no,11,135,unknown,1
secondary,nov,-1,blue-collar,yes,no,54,0,2,unknown,single,1614,no,23,267,failure,1
tertiary,jul,-1,housemaid,no,no,31,0,1,unknown,married,844,yes,15,92,unknown,1
primary,jun,-1,management,no,no,48,0,5,cellular,married,744,yes,20,163,unknown,1
secondary,may,-1,services,no,no,28,0,2,cellular,married,2160,no,26,0,unknown,1
secondary,jul,-1,student,no,no,39,0,4,cellular,married,32,no,11,573,unknown,1
secondary,jul,-1,management,no,no,38,0,3,cellular,single,1078,yes,19,1171,unknown,2
tertiary,may,-1,management,no,no,45,0,4,cellular,single,989,yes,18,183,unknown,1
primary,apr,-1,blue-collar,no,no,32,0,4,telephone,married,1364,yes,28,150,unknown,1
tertiary,nov,-1,retired,no,no,42,0,3,unknown,married,712,no,8,124,unknown,1
tertiary,jul,-1,technician,no,no,45,0,1,cellular,single,134,no,14,247,unknown,2
secondary,jul,-1,management,no,no,43,0,3,cellular,married,158,yes,25,965,unknown,1
tertiary,nov,-1,blue-collar,no,no,57,0,1,unknown,single,4601,yes,8,125,unknown,1
